m_ID,S,S_LowHigh,C,C_category,ratio,NODF,P_Ce,NODFst,N_LowHigh,nSpecA
163,88,0,0.14515,0,2.8261,2.7425,0,0.26,1,6
164,88,0,0.15117,0,2.8261,2.8104,0,0.23,1,13
165,88,0,0.14916,0,2.8261,2.8587,0,0.23,1,13
166,88,0,0.14983,0,2.8261,3.0542,0,0.24,1,12
167,87,0,0.14538,0,2.7826,2.8027,0,0.24,1,12
168,87,0,0.1447,0,2.7826,3.115,0,0.27,1,17
169,87,0,0.15353,0,2.7826,3.0308,0,0.25,1,11
170,87,0,0.15625,0,2.7826,3.4038,0,0.27,1,8
171,87,0,0.1447,0,2.7826,2.6151,0,0.24,1,12
172,87,0,0.15014,0,2.7826,3.3316,0,0.27,1,16
173,87,0,0.15315,0,2.9545,2.929,0,0.24,1,17
174,87,0,0.14946,0,2.7826,3.2368,0,0.26,1,13
175,87,0,0.1481,0,2.7826,3.0135,0,0.26,1,11
176,87,0,0.15082,0,2.7826,2.8401,0,0.23,1,9
177,87,0,0.14946,0,2.7826,3.0378,0,0.25,1,14
178,87,0,0.1481,0,2.7826,3.0296,0,0.27,1,12
179,87,0,0.14946,0,2.7826,3.3602,0,0.27,1,15
180,87,0,0.14606,0,2.7826,3.1286,0,0.27,1,17
181,87,0,0.14878,0,2.7826,3.1284,0,0.27,1,10
182,87,0,0.15897,0,2.7826,3.1472,0,0.25,1,9
183,87,0,0.14946,0,2.7826,3.0776,0,0.25,1,13
184,87,0,0.15082,0,2.7826,2.946,0,0.25,1,12
185,87,0,0.14606,0,2.7826,3.085,0,0.26,1,13
186,87,0,0.1481,0,2.7826,2.7233,0,0.23,1,9
187,87,0,0.15625,0,2.7826,2.8145,0,0.24,1,8
188,87,0,0.15693,0,2.7826,2.94,0,0.24,1,9
189,87,0,0.14878,0,2.7826,2.8552,0,0.23,1,15
190,87,0,0.14674,0,2.7826,3.0052,0,0.26,1,12
191,87,0,0.14402,0,2.7826,3.0792,0,0.25,1,16
192,87,0,0.14878,0,2.7826,3.0292,0,0.26,1,12
193,87,0,0.15353,0,2.7826,3.2149,0,0.26,1,8
194,86,0,0.15321,0,2.7391,3.123,0,0.25,1,15
195,86,0,0.15321,0,2.7391,3.1001,0,0.25,1,15
196,86,0,0.14773,0,2.9091,2.8758,0,0.25,1,17
197,86,0,0.147,0,2.7391,2.8118,0,0.24,1,13
198,86,0,0.14493,0,2.7391,2.9851,0,0.25,1,15
199,86,0,0.14424,0,2.7391,2.9959,0,0.26,1,12
200,86,0,0.15459,0,2.7391,3.0972,0,0.26,1,12
201,90,0,0.29865,1,2.3333,-2.5648,0.99,-0.11,0,0
202,89,0,0.3,1,2.069,-2.2646,0.99,-0.1,0,0
203,90,0,0.30021,1,3.2857,-2.1032,0.98,-0.1,0,1
204,90,0,0.30333,1,2,-2.2009,0.99,-0.1,0,0
205,90,0,0.29851,1,2.913,-1.9764,0.98,-0.09,0,0
206,90,0,0.30114,1,2.75,-1.9472,0.97,-0.09,0,0
207,90,0,0.29988,1,2.4615,-2.0151,0.98,-0.09,0,0
208,90,0,0.29718,1,1.7273,-2.01,0.98,-0.09,0,0
209,90,0,0.29857,1,3.5,-1.847,0.97,-0.09,0,1
210,90,0,0.30197,1,1.7273,-2.0559,0.98,-0.09,0,0
211,89,0,0.30392,1,3.2381,-1.7174,0.96,-0.08,0,0
212,90,0,0.29357,1,3.5,-1.7181,0.96,-0.08,0,0
213,90,0,0.30454,1,1.9032,-1.8528,0.97,-0.08,0,0
214,90,0,0.29453,1,2.3333,-1.7484,0.96,-0.08,0,0
215,90,0,0.30711,1,1.8125,-1.7543,0.96,-0.07,0,0
216,90,0,0.3057,1,2.3333,-1.7292,0.96,-0.07,0,0
217,90,0,0.30172,1,1.8125,-1.6957,0.96,-0.07,0,0
218,90,0,0.29,1,3.5,-1.4698,0.93,-0.07,0,0
219,90,0,0.30182,1,1.5714,-1.6403,0.95,-0.07,0,0
220,90,0,0.30234,1,1.5714,-1.6215,0.95,-0.07,0,0
221,90,0,0.3041,1,1.6471,-1.6348,0.95,-0.07,0,0
222,90,0,0.29924,1,2.3333,-1.5717,0.94,-0.07,0,0
223,90,0,0.29883,1,3.2857,-1.492,0.93,-0.07,0,0
224,90,0,0.3011,1,2.913,-1.4784,0.93,-0.07,0,0
225,90,0,0.30694,1,2.913,-1.4251,0.92,-0.07,0,0
226,90,0,0.29988,1,2.4615,-1.4397,0.93,-0.07,0,0
227,90,0,0.30281,1,3.0909,-1.4017,0.92,-0.07,0,0
228,90,0,0.29679,1,3.0909,-1.4,0.92,-0.06,0,1
229,90,0,0.30159,1,2.3333,-1.464,0.93,-0.06,0,0
230,90,0,0.30708,1,2.6,-1.4137,0.92,-0.06,0,0
231,90,0,0.3025,1,1.7273,-1.5124,0.93,-0.06,0,0
232,90,0,0.29851,1,2.913,-1.3567,0.91,-0.06,0,0
233,90,0,0.29861,1,2.75,-1.3709,0.91,-0.06,0,0
234,90,0,0.29734,1,2.1034,-1.3752,0.92,-0.06,0,1
235,90,0,0.29969,1,2.6,-1.3445,0.91,-0.06,0,0
236,90,0,0.30585,1,2.6,-1.3892,0.92,-0.06,0,0
237,90,0,0.29947,1,3.0909,-1.2553,0.9,-0.06,0,0
238,90,0,0.30366,1,2.75,-1.29,0.9,-0.06,0,0
239,90,0,0.29908,1,2.6,-1.3327,0.91,-0.06,0,0
240,90,0,0.29621,1,2.1034,-1.3464,0.91,-0.06,0,0
241,90,0,0.29786,1,2.913,-1.2798,0.9,-0.06,0,0
242,90,0,0.31001,1,1.9032,-1.4734,0.93,-0.06,0,0
243,90,0,0.3028,1,1.8125,-1.3669,0.91,-0.06,0,0
244,90,0,0.29947,1,3.0909,-1.3369,0.91,-0.06,0,0
245,90,0,0.3009,1,1.7273,-1.4465,0.93,-0.06,0,0
246,90,0,0.30589,1,2.4615,-1.3371,0.91,-0.06,0,0
247,90,0,0.30147,1,1.6471,-1.3845,0.92,-0.06,0,0
248,89,0,0.29615,1,2.7083,-1.288,0.9,-0.06,0,0
249,90,0,0.30618,1,1.9032,-1.4196,0.92,-0.06,0,0
250,90,0,0.29861,1,2.75,-1.2516,0.89,-0.06,0,0
251,90,0,0.30745,1,2.75,-1.3376,0.91,-0.06,0,0
252,90,0,0.31117,1,1.5714,-1.443,0.93,-0.06,0,0
253,90,0,0.30882,1,3.0909,-1.2476,0.89,-0.06,0,0
254,90,0,0.30357,1,1.6471,-1.3507,0.91,-0.06,0,0
255,90,0,0.30252,1,1.6471,-1.3485,0.91,-0.06,0,0
256,90,0,0.29846,1,2.6,-1.225,0.89,-0.06,0,0
257,90,0,0.29672,1,2.75,-1.203,0.89,-0.06,0,0
258,89,0,0.30952,1,3.2381,-1.1676,0.88,-0.06,0,0
259,90,0,0.29507,1,2.4615,-1.2155,0.89,-0.06,0,0
260,90,0,0.29924,1,2.3333,-1.2565,0.9,-0.05,0,0
261,90,0,0.30303,1,2.75,-1.2129,0.89,-0.05,0,1
262,90,0,0.30831,1,2.6,-1.2764,0.9,-0.05,0,0
263,90,0,0.30235,1,1.9032,-1.2569,0.9,-0.05,0,0
264,90,0,0.28714,1,3.5,-1.0968,0.86,-0.05,0,0
265,90,0,0.3008,1,3.0909,-1.2229,0.89,-0.05,0,0
266,90,0,0.29791,1,2.1034,-1.2638,0.9,-0.05,0,0
267,90,0,0.29791,1,2.1034,-1.2427,0.89,-0.05,0,0
268,90,0,0.30222,1,2,-1.2922,0.9,-0.05,0,0
269,90,0,0.30286,1,1.5714,-1.259,0.9,-0.05,0,0
270,90,0,0.3018,1,1.9032,-1.2157,0.89,-0.05,0,0
271,90,0,0.30366,1,3.2857,-1.0858,0.86,-0.05,0,1
272,90,0,0.30725,1,1.6471,-1.2459,0.89,-0.05,0,0
273,90,0,0.305,1,3.5,-1.0508,0.85,-0.05,0,0
274,90,0,0.30645,1,2.2143,-1.1867,0.88,-0.05,0,0
275,90,0,0.31019,1,2.913,-1.1672,0.88,-0.05,0,0
276,90,0,0.29778,1,2,-1.1218,0.87,-0.05,0,0
277,90,0,0.3113,1,2.4615,-1.1609,0.88,-0.05,0,0
278,90,0,0.3143,1,1.5,-1.2044,0.89,-0.05,0,0
279,90,0,0.2947,1,1.9032,-1.1638,0.88,-0.05,0,0
280,90,0,0.30582,1,2.1034,-1.1204,0.87,-0.05,0,0
281,90,0,0.3062,1,1.6471,-1.1672,0.88,-0.05,0,0
282,90,0,0.30672,1,1.6471,-1.1373,0.87,-0.05,0,0
283,90,0,0.30021,1,3.2857,-1.0348,0.85,-0.05,0,0
284,90,0,0.30114,1,2.75,-1.0511,0.85,-0.05,0,0
285,90,0,0.30548,1,3.0909,-1.0244,0.85,-0.05,0,0
286,90,0,0.29672,1,2.75,-1.0082,0.84,-0.05,0,0
287,90,0,0.30366,1,3.2857,-1.0084,0.84,-0.05,0,0
288,90,0,0.29791,1,2.1034,-1.0327,0.85,-0.05,0,0
289,90,0,0.30281,1,3.0909,-1.0227,0.85,-0.05,0,0
290,90,0,0.30492,1,2.75,-1.0267,0.85,-0.05,0,0
291,90,0,0.29506,1,1.7273,-1.0968,0.86,-0.05,0,0
292,90,0,0.30714,1,3.5,-0.92406,0.82,-0.05,0,0
293,90,0,0.30168,1,2.4615,-1.0382,0.85,-0.05,0,0
294,90,0,0.30709,1,2.4615,-1.0191,0.85,-0.05,0,0
295,90,0,0.302,1,1.6471,-1.1156,0.87,-0.05,0,0
296,90,0,0.30709,1,2.4615,-1.0693,0.86,-0.05,0,0
297,90,0,0.29723,1,2.6,-0.99458,0.84,-0.05,0,0
298,90,0,0.303,1,2.1034,-1.0459,0.85,-0.04,0,0
299,90,0,0.29746,1,3.0909,-0.94844,0.83,-0.04,0,0
300,90,0,0.30435,1,3.2857,-0.97525,0.84,-0.04,0,1
301,90,0,0.2988,1,3.0909,5.5253,0,0.26,1,2
302,90,0,0.30348,1,3.0909,5.0403,0,0.24,1,2
303,90,0,0.30816,1,3.0909,5.1067,0,0.23,1,1
304,90,0,0.31283,1,3.0909,5.629,0,0.25,1,5
305,90,0,0.30949,1,3.0909,5.4145,0,0.24,1,1
306,90,0,0.3135,1,3.0909,5.7567,0,0.26,1,0
307,90,0,0.3135,1,3.0909,5.1818,0,0.24,1,0
308,90,0,0.31283,1,3.0909,5.7977,0,0.26,1,3
309,90,0,0.3115,1,3.0909,5.1272,0,0.24,1,2
310,90,0,0.30749,1,3.0909,5.8715,0,0.26,1,1
311,90,0,0.29144,1,3.0909,5.1871,0,0.25,1,0
312,90,0,0.30013,1,3.0909,5.6554,0,0.26,1,2
313,90,0,0.29144,1,3.0909,5.791,0,0.27,1,2
314,90,0,0.30281,1,3.0909,5.9031,0,0.27,1,1
315,90,0,0.2988,1,3.0909,5.8104,0,0.26,1,1
316,90,0,0.32487,1,3.0909,6.2461,0,0.27,1,0
317,90,0,0.29345,1,3.0909,5.031,0,0.23,1,1
318,90,0,0.31083,1,3.0909,6.0245,0,0.26,1,1
319,90,0,0.30214,1,3.0909,5.4801,0,0.24,1,2
320,90,0,0.30281,1,3.0909,5.4263,0,0.24,1,3
321,90,0,0.2988,1,3.0909,5.6209,0,0.27,1,2
322,90,0,0.31217,1,3.0909,5.9208,0,0.26,1,0
323,90,0,0.30348,1,3.0909,5.1688,0,0.23,1,4
324,90,0,0.30816,1,3.0909,5.7149,0,0.26,1,1
325,90,0,0.32353,1,3.0909,5.4322,0,0.24,1,1
326,90,0,0.2988,1,3.0909,5.0438,0,0.23,1,2
327,90,0,0.30414,1,3.0909,5.4843,0,0.26,1,1
328,90,0,0.31952,1,3.0909,5.2579,0,0.24,1,0
329,90,0,0.29144,1,3.0909,5.309,0,0.25,1,1
330,90,0,0.30414,1,3.0909,4.968,0,0.23,1,0
331,90,0,0.2988,1,3.0909,5.3838,0,0.25,1,3
332,90,0,0.30882,1,3.0909,5.3584,0,0.25,1,3
333,90,0,0.31618,1,3.0909,5.0765,0,0.23,1,0
334,90,0,0.29813,1,3.0909,5.3567,0,0.26,1,1
335,90,0,0.3115,1,3.0909,5.6583,0,0.25,1,4
336,90,0,0.3135,1,3.0909,5.5852,0,0.26,1,0
337,90,0,0.31283,1,3.0909,5.7174,0,0.26,1,3
338,90,0,0.31283,1,3.0909,5.9891,0,0.27,1,1
339,90,0,0.29211,1,3.0909,5.4342,0,0.26,1,1
340,90,0,0.31417,1,3.0909,5.3197,0,0.24,1,0
341,90,0,0.3135,1,3.0909,5.4453,0,0.24,1,0
342,90,0,0.30348,1,3.0909,5.1655,0,0.24,1,3
343,90,0,0.31083,1,3.0909,5.7262,0,0.27,1,1
344,90,0,0.30414,1,3.0909,5.166,0,0.24,1,1
345,90,0,0.29947,1,3.0909,5.5442,0,0.26,1,1
346,90,0,0.29813,1,3.0909,5.2663,0,0.26,1,0
347,90,0,0.30348,1,3.0909,5.6176,0,0.25,1,1
348,90,0,0.29412,1,3.0909,5.1693,0,0.25,1,1
349,90,0,0.31283,1,3.0909,5.5575,0,0.25,1,2
350,90,0,0.29679,1,3.0909,5.6208,0,0.27,1,0
351,90,0,0.29746,1,3.0909,5.2599,0,0.26,1,2
352,90,0,0.3115,1,3.0909,5.31,0,0.24,1,0
353,90,0,0.30281,1,3.0909,4.9802,0,0.24,1,0
354,90,0,0.29679,1,3.0909,4.9444,0,0.23,1,3
355,90,0,0.30348,1,3.0909,5.2407,0,0.23,1,1
356,90,0,0.31417,1,3.0909,5.4476,0,0.24,1,1
357,90,0,0.29746,1,3.0909,5.3907,0,0.25,1,0
